Date(DD-MM-YY), Time(24-hour clock),Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status(Open/Closed)
08-January-2021,12:32:11,6.199999999999999,1060.2,12.0,67,78,Close
08-January-2021,12:32:12,12.5,1004.6,14.200000000000003,72,76,Close
08-January-2021,12:32:13,12.5,1004.6,14.200000000000003,72,76,Close
08-January-2021,12:32:14,12.600000000000001,1065.1,12.799999999999997,80,76,Close
08-January-2021,12:32:15,12.600000000000001,1065.1,12.799999999999997,80,76,Close
08-January-2021,12:32:16,10.700000000000003,1073.5,12.799999999999997,83,78,Close
08-January-2021,12:32:17,11.799999999999997,1031.9,12.0,70,75,Close
08-January-2021,12:32:18,11.799999999999997,1031.9,12.0,70,75,Close
08-January-2021,12:32:19,5.5,1026.3,10.600000000000001,61,72,Close
08-January-2021,12:32:20,5.5,1026.3,10.600000000000001,61,72,Close
08-January-2021,12:32:21,9.600000000000001,1035.4,11.5,73,77,Close
08-January-2021,12:32:22,9.600000000000001,1035.4,11.5,73,77,Close
08-January-2021,12:32:23,13.399999999999999,1045.7,11.100000000000001,74,79,Close
08-January-2021,12:32:24,9.299999999999997,1082.8,13.100000000000001,78,72,Close
08-January-2021,12:32:25,9.299999999999997,1082.8,13.100000000000001,78,72,Close
08-January-2021,12:32:26,7.5,1071.9,14.5,91,71,Close
08-January-2021,12:32:27,7.5,1071.9,14.5,91,71,Close
08-January-2021,12:32:28,6.5,1093.0,14.100000000000001,81,77,Close
08-January-2021,12:32:29,6.5,1093.0,14.100000000000001,81,77,Close
08-January-2021,12:32:31,5.0,1032.8,10.799999999999997,73,75,Close
08-January-2021,12:32:31,5.0,1032.8,10.799999999999997,73,75,Close
08-January-2021,12:32:32,14.700000000000003,1005.7,10.0,77,76,Close
08-January-2021,12:32:33,11.100000000000001,1081.6,14.299999999999997,92,79,Close
08-January-2021,12:32:34,11.100000000000001,1081.6,14.299999999999997,92,79,Close
08-January-2021,12:32:35,9.100000000000001,1012.1,13.399999999999999,60,73,Close
08-January-2021,12:32:36,9.100000000000001,1012.1,13.399999999999999,60,73,Close
08-January-2021,12:32:37,12.700000000000003,1042.8,12.200000000000003,86,70,Close
08-January-2021,12:32:38,12.700000000000003,1042.8,12.200000000000003,86,70,Close
08-January-2021,12:32:39,14.799999999999997,1084.4,10.899999999999999,73,74,Close
08-January-2021,12:32:40,14.799999999999997,1084.4,10.899999999999999,73,74,Close
08-January-2021,12:32:41,6.800000000000001,1009.9,12.299999999999997,72,79,Close
08-January-2021,12:32:42,9.200000000000003,1003.1,14.600000000000001,71,73,Close
08-January-2021,12:32:44,9.200000000000003,1003.1,14.600000000000001,71,73,Close
08-January-2021,12:32:44,11.299999999999997,1025.7,12.899999999999999,90,74,Close
08-January-2021,12:32:46,11.299999999999997,1025.7,12.899999999999999,90,74,Close
08-January-2021,12:32:46,9.600000000000001,1050.5,11.100000000000001,82,74,Close
08-January-2021,12:32:48,9.600000000000001,1050.5,11.100000000000001,82,74,Close
08-January-2021,12:32:48,10.0,1019.8,11.600000000000001,65,72,Close
08-January-2021,12:32:50,10.0,1019.8,11.600000000000001,65,72,Close
08-January-2021,12:32:50,13.0,1058.3,13.100000000000001,66,73,Close
08-January-2021,12:32:51,13.0,1058.3,13.100000000000001,66,73,Close
08-January-2021,12:32:52,11.899999999999999,1021.7,14.700000000000003,94,77,Close
08-January-2021,12:32:54,9.600000000000001,1008.0,11.100000000000001,90,76,Close
08-January-2021,12:32:55,9.600000000000001,1008.0,11.100000000000001,90,76,Close
08-January-2021,12:32:56,14.0,1074.7,13.799999999999997,77,74,Close
