Date(DD-MM-YY), Time(24-hour),Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status(Open/Closed)
20-January-2021,11:25:19,13.399999999999999,1063.3,10.100000000000001,64,71,Close
20-January-2021,11:25:21,14.399999999999999,1004.1,13.600000000000001,69,72,Close
20-January-2021,11:25:22,12.299999999999997,1095.0,13.0,66,74,Close
20-January-2021,11:25:23,12.100000000000001,1042.8,14.600000000000001,64,77,Close
20-January-2021,11:25:24,10.700000000000003,1072.0,14.899999999999999,97,79,Close
20-January-2021,11:25:25,9.700000000000003,1011.6,14.799999999999997,64,77,Close
20-January-2021,11:25:26,10.600000000000001,1081.7,12.899999999999999,91,78,Close
20-January-2021,11:25:27,10.899999999999999,1048.0,11.200000000000003,71,72,Close
20-January-2021,11:25:28,9.200000000000003,1094.9,14.0,94,73,Close
20-January-2021,11:25:29,10.600000000000001,1054.2,14.299999999999997,61,77,Close
20-January-2021,11:25:30,10.600000000000001,1054.2,14.299999999999997,61,77,Close
20-January-2021,11:25:31,6.899999999999999,1011.0,14.600000000000001,82,78,Close
20-January-2021,11:25:32,12.299999999999997,1051.3,10.399999999999999,97,73,Close
20-January-2021,11:25:33,12.299999999999997,1042.5,12.600000000000001,60,77,Close
20-January-2021,11:25:34,8.799999999999997,1011.9,10.5,84,74,Close
20-January-2021,11:25:35,11.5,1027.4,14.299999999999997,75,78,Close
20-January-2021,11:25:36,10.399999999999999,1019.7,10.200000000000003,72,79,Close
20-January-2021,11:25:37,5.399999999999999,1066.9,12.399999999999999,60,72,Close
20-January-2021,11:25:38,11.899999999999999,1081.8,11.0,66,74,Close
20-January-2021,11:25:39,6.899999999999999,1035.9,13.600000000000001,64,72,Close
20-January-2021,11:25:40,6.699999999999999,1033.0,11.899999999999999,98,70,Close
20-January-2021,11:25:41,12.299999999999997,1093.8,12.299999999999997,92,73,Close
20-January-2021,11:25:42,9.299999999999997,1042.8,11.700000000000003,72,75,Close
20-January-2021,11:25:43,7.399999999999999,1074.6,12.600000000000001,61,77,Close
20-January-2021,11:25:44,12.700000000000003,1073.2,13.5,72,72,Close
20-January-2021,11:25:45,11.5,1016.4,13.100000000000001,89,79,Close
20-January-2021,11:25:46,11.5,1016.4,13.100000000000001,89,79,Close
20-January-2021,11:25:47,9.299999999999997,1032.0,11.100000000000001,99,79,Close
20-January-2021,11:25:48,11.799999999999997,1085.6,13.600000000000001,83,75,Close
20-January-2021,11:25:49,7.899999999999999,1072.1,12.5,96,71,Close
20-January-2021,11:25:50,8.5,1088.6,13.600000000000001,75,74,Close
20-January-2021,11:25:51,12.0,1011.4,11.299999999999997,64,72,Close
20-January-2021,11:25:52,13.899999999999999,1064.7,13.600000000000001,80,77,Close
20-January-2021,11:25:53,5.899999999999999,1082.6,10.5,99,70,Close
20-January-2021,11:25:54,9.399999999999999,1035.2,11.5,75,71,Close
20-January-2021,11:25:55,9.5,1034.5,10.700000000000003,61,76,Close
20-January-2021,11:25:56,12.399999999999999,1094.8,11.100000000000001,66,78,Close
20-January-2021,11:25:57,7.299999999999997,1017.9,14.799999999999997,95,78,Close
20-January-2021,11:25:58,13.100000000000001,1011.2,10.200000000000003,69,73,Close
20-January-2021,11:25:59,5.600000000000001,1099.3,12.5,62,74,Close
20-January-2021,11:26:0,5.0,1012.4,14.899999999999999,71,72,Close
20-January-2021,11:26:1,11.799999999999997,1047.1,13.200000000000003,67,79,Close
20-January-2021,11:26:2,5.199999999999999,1065.7,13.600000000000001,98,70,Close
20-January-2021,11:26:3,5.199999999999999,1065.7,13.600000000000001,98,70,Close
20-January-2021,11:26:4,8.399999999999999,1009.8,12.200000000000003,99,77,Close
20-January-2021,11:26:5,8.399999999999999,1009.8,12.200000000000003,99,77,Close
20-January-2021,11:26:6,14.799999999999997,1026.7,12.899999999999999,95,74,Close
20-January-2021,11:26:7,5.399999999999999,1030.6,14.399999999999999,66,77,Close
20-January-2021,11:26:8,7.399999999999999,1044.6,10.200000000000003,96,77,Close
20-January-2021,11:26:9,8.299999999999997,1000.4,14.399999999999999,77,76,Close
20-January-2021,11:26:10,6.800000000000001,1009.5,10.5,67,73,Close
20-January-2021,11:26:11,12.600000000000001,1035.2,13.5,91,72,Close
20-January-2021,11:26:12,11.200000000000003,1058.4,12.0,72,70,Close
20-January-2021,11:26:13,13.299999999999997,1050.4,14.0,69,79,Close
20-January-2021,11:26:14,11.600000000000001,1051.3,12.799999999999997,85,72,Close
20-January-2021,11:26:15,9.299999999999997,1043.2,14.200000000000003,86,77,Close
20-January-2021,11:26:16,8.100000000000001,1045.1,13.399999999999999,98,76,Close
20-January-2021,11:26:17,5.899999999999999,1053.7,11.100000000000001,68,74,Close
20-January-2021,11:26:18,11.899999999999999,1082.2,13.5,61,73,Close
20-January-2021,11:26:19,11.399999999999999,1052.5,13.299999999999997,64,71,Close
20-January-2021,11:26:20,13.899999999999999,1061.7,12.0,70,70,Close
20-January-2021,11:26:21,12.299999999999997,1063.1,12.399999999999999,98,73,Close
20-January-2021,11:26:22,6.5,1099.6,14.5,93,74,Close
20-January-2021,11:26:23,6.5,1099.6,14.5,93,74,Close
20-January-2021,11:26:24,13.600000000000001,1063.4,11.100000000000001,89,75,Close
20-January-2021,11:26:25,11.299999999999997,1071.1,10.700000000000003,75,71,Close
20-January-2021,11:26:26,10.200000000000003,1096.4,12.5,61,71,Close
20-January-2021,11:26:27,12.600000000000001,1011.9,13.700000000000003,64,71,Close
20-January-2021,11:26:28,13.100000000000001,1095.5,11.600000000000001,62,72,Close
20-January-2021,11:26:29,9.5,1087.5,14.299999999999997,62,77,Close
20-January-2021,11:26:30,7.600000000000001,1096.9,14.100000000000001,64,71,Close
20-January-2021,11:26:32,10.100000000000001,1038.7,14.200000000000003,70,73,Close
20-January-2021,11:26:33,5.100000000000001,1094.4,11.700000000000003,86,70,Close
20-January-2021,11:26:34,10.799999999999997,1025.4,14.899999999999999,73,79,Close
20-January-2021,11:26:35,9.600000000000001,1033.9,12.299999999999997,67,72,Close
20-January-2021,11:26:36,9.399999999999999,1092.6,11.5,90,72,Close
20-January-2021,11:26:37,11.200000000000003,1093.7,13.399999999999999,69,70,Close
20-January-2021,11:26:38,13.799999999999997,1091.9,10.799999999999997,82,71,Close
20-January-2021,11:26:39,8.100000000000001,1004.4,14.5,93,77,Close
20-January-2021,11:26:40,14.600000000000001,1049.0,10.799999999999997,73,73,Close
20-January-2021,11:26:41,14.600000000000001,1049.0,10.799999999999997,73,73,Close
20-January-2021,11:26:42,6.0,1092.5,12.799999999999997,86,71,Close
20-January-2021,11:26:43,7.700000000000003,1067.5,13.299999999999997,75,74,Close
20-January-2021,11:26:44,5.600000000000001,1012.4,11.600000000000001,80,70,Close
20-January-2021,11:26:45,6.399999999999999,1019.7,13.100000000000001,73,70,Close
20-January-2021,11:26:46,8.299999999999997,1022.7,12.100000000000001,86,74,Close
20-January-2021,11:26:47,12.200000000000003,1073.4,13.799999999999997,69,74,Close
20-January-2021,11:26:48,14.5,1026.5,11.299999999999997,90,75,Close
20-January-2021,11:26:49,6.100000000000001,1073.8,12.899999999999999,89,72,Close
20-January-2021,11:26:50,7.200000000000003,1039.9,10.100000000000001,61,71,Close
20-January-2021,11:26:51,8.200000000000003,1048.8,13.799999999999997,78,72,Close
20-January-2021,11:26:52,13.100000000000001,1055.3,11.799999999999997,82,74,Close
20-January-2021,11:26:53,14.399999999999999,1074.9,11.100000000000001,94,79,Close
20-January-2021,11:26:54,5.100000000000001,1094.2,13.0,63,78,Close
20-January-2021,11:26:55,6.199999999999999,1049.4,13.399999999999999,82,73,Close
20-January-2021,11:26:56,13.899999999999999,1036.8,12.799999999999997,86,74,Close
20-January-2021,11:27:56,7.0,1063.9,13.5,86,70,Close
20-January-2021,11:27:57,12.0,1023.4,14.600000000000001,74,75,Close
20-January-2021,11:27:58,5.399999999999999,1082.8,11.5,87,79,Close
20-January-2021,11:27:59,5.800000000000001,1093.4,10.799999999999997,83,70,Close
20-January-2021,11:28:0,5.600000000000001,1003.0,10.200000000000003,76,74,Close
20-January-2021,11:28:1,7.299999999999997,1055.6,10.0,81,71,Close
20-January-2021,11:28:2,6.0,1012.6,12.700000000000003,71,75,Close
20-January-2021,11:28:3,6.899999999999999,1081.6,11.0,79,73,Close
20-January-2021,11:28:4,7.100000000000001,1004.8,12.399999999999999,69,77,Close
20-January-2021,11:28:5,8.799999999999997,1074.0,14.100000000000001,82,72,Close
20-January-2021,11:28:6,12.100000000000001,1074.6,14.200000000000003,75,75,Close
20-January-2021,11:28:7,6.800000000000001,1045.9,13.899999999999999,79,71,Close
20-January-2021,11:28:8,7.399999999999999,1019.3,12.299999999999997,93,73,Close
20-January-2021,11:28:9,7.399999999999999,1019.3,12.299999999999997,93,73,Close
20-January-2021,11:28:10,12.399999999999999,1059.2,10.100000000000001,61,78,Close
20-January-2021,11:28:11,13.200000000000003,1006.7,12.799999999999997,77,77,Close
20-January-2021,11:28:12,12.600000000000001,1082.1,14.600000000000001,99,74,Close
