Date(DD-MM-YY), Time(24-hour clock),Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status(Open/Closed)
06-January-2021,8:58:36,8.5,106.1,14.899999999999999,62,78,Close
06-January-2021,8:58:37,12.100000000000001,109.5,10.200000000000003,60,74,Close
06-January-2021,8:58:39,12.100000000000001,109.5,10.200000000000003,60,74,Close
06-January-2021,8:58:40,10.600000000000001,101.3,13.600000000000001,79,70,Close
06-January-2021,8:58:40,10.600000000000001,101.3,13.600000000000001,79,70,Close
06-January-2021,8:58:41,9.5,108.5,11.399999999999999,98,72,Close
06-January-2021,8:58:43,5.899999999999999,105.6,12.200000000000003,68,79,Close
06-January-2021,8:58:44,5.899999999999999,105.6,12.200000000000003,68,79,Close
06-January-2021,8:58:46,9.600000000000001,101.9,12.0,85,71,Close
06-January-2021,8:58:49,8.299999999999997,107.5,13.899999999999999,95,77,Close
06-January-2021,9:9:28,13.100000000000001,106.1,11.100000000000001,98,78,Close
06-January-2021,9:9:30,10.200000000000003,102.0,10.399999999999999,71,73,Close
06-January-2021,9:9:31,10.200000000000003,102.0,10.399999999999999,71,73,Close
06-January-2021,9:9:33,13.399999999999999,101.4,11.399999999999999,81,71,Close
06-January-2021,9:9:35,10.0,107.8,10.799999999999997,80,73,Close
06-January-2021,9:9:36,6.0,100.4,11.5,85,77,Close
06-January-2021,9:9:37,6.0,100.4,11.5,85,77,Close
06-January-2021,9:9:38,5.199999999999999,103.7,13.799999999999997,64,78,Close
06-January-2021,9:9:39,7.799999999999997,103.9,12.799999999999997,93,78,Close
06-January-2021,9:9:40,7.799999999999997,103.9,12.799999999999997,93,78,Close
06-January-2021,9:9:41,7.299999999999997,105.4,11.600000000000001,87,76,Close
06-January-2021,9:9:42,7.299999999999997,105.4,11.600000000000001,87,76,Close
06-January-2021,9:9:43,5.800000000000001,103.2,12.100000000000001,94,78,Close
06-January-2021,9:9:44,5.800000000000001,103.2,12.100000000000001,94,78,Close
06-January-2021,9:9:45,10.299999999999997,104.1,11.799999999999997,66,71,Close
06-January-2021,9:9:46,6.899999999999999,100.5,13.0,62,74,Close
06-January-2021,9:9:47,6.899999999999999,100.5,13.0,62,74,Close
06-January-2021,9:9:48,14.200000000000003,106.8,13.399999999999999,72,76,Close
06-January-2021,9:9:49,14.200000000000003,106.8,13.399999999999999,72,76,Close
06-January-2021,9:17:35,11.299999999999997,101.6,13.0,88,72,Close
06-January-2021,9:17:37,14.200000000000003,102.0,10.100000000000001,63,70,Close
06-January-2021,9:17:38,6.399999999999999,106.5,13.899999999999999,93,77,Close
06-January-2021,9:17:40,6.399999999999999,106.5,13.899999999999999,93,77,Close
06-January-2021,9:17:40,5.399999999999999,100.8,14.100000000000001,90,78,Close
06-January-2021,9:17:41,5.399999999999999,100.8,14.100000000000001,90,78,Close
06-January-2021,9:17:43,12.299999999999997,109.9,13.5,72,74,Close
06-January-2021,9:17:45,6.300000000000001,108.8,11.200000000000003,80,73,Close
06-January-2021,9:17:46,5.699999999999999,100.2,12.200000000000003,69,74,Close
06-January-2021,9:17:47,7.100000000000001,107.5,11.899999999999999,88,73,Close
06-January-2021,9:17:49,7.100000000000001,107.5,11.899999999999999,88,73,Close
06-January-2021,9:17:50,6.5,100.4,13.899999999999999,87,71,Close
06-January-2021,9:17:51,6.5,100.4,13.899999999999999,87,71,Close
06-January-2021,9:17:52,12.0,105.5,13.899999999999999,89,72,Close
06-January-2021,9:17:52,12.0,105.5,13.899999999999999,89,72,Close
06-January-2021,9:17:53,6.0,109.0,14.600000000000001,74,77,Close
06-January-2021,9:17:55,11.399999999999999,104.9,10.600000000000001,86,75,Close
06-January-2021,9:17:55,11.399999999999999,104.9,10.600000000000001,86,75,Close
06-January-2021,9:17:57,13.299999999999997,103.4,10.5,75,72,Close
06-January-2021,9:17:57,13.299999999999997,103.4,10.5,75,72,Close
06-January-2021,9:17:58,14.5,109.2,13.299999999999997,79,73,Close
06-January-2021,9:17:59,14.5,109.2,13.299999999999997,79,73,Close
06-January-2021,9:18:0,6.5,109.3,11.100000000000001,68,73,Close
06-January-2021,9:18:2,6.5,109.3,11.100000000000001,68,73,Close
06-January-2021,9:18:4,14.399999999999999,104.1,11.200000000000003,71,74,Close
06-January-2021,9:18:5,11.399999999999999,109.0,10.0,99,74,Close
06-January-2021,9:18:6,5.399999999999999,105.5,10.299999999999997,74,71,Close
06-January-2021,9:18:7,6.199999999999999,100.1,12.0,62,73,Close
06-January-2021,9:18:8,6.199999999999999,100.1,12.0,62,73,Close
06-January-2021,9:18:9,6.399999999999999,102.6,13.299999999999997,87,71,Close
06-January-2021,9:18:10,6.399999999999999,102.6,13.299999999999997,87,71,Close
06-January-2021,9:18:11,12.799999999999997,104.0,12.5,70,75,Close
06-January-2021,9:18:12,9.600000000000001,108.2,12.100000000000001,90,77,Close
06-January-2021,9:18:13,9.600000000000001,108.2,12.100000000000001,90,77,Close
06-January-2021,9:18:15,10.600000000000001,102.5,14.0,78,75,Close
06-January-2021,9:18:16,13.299999999999997,106.5,12.100000000000001,76,75,Close
06-January-2021,9:18:17,13.299999999999997,106.5,12.100000000000001,76,75,Close
06-January-2021,9:18:18,13.5,101.0,11.200000000000003,89,78,Close
06-January-2021,9:18:19,13.5,101.0,11.200000000000003,89,78,Close
06-January-2021,9:18:20,10.200000000000003,100.4,10.799999999999997,78,70,Close
06-January-2021,9:18:21,10.200000000000003,100.4,10.799999999999997,78,70,Close
06-January-2021,9:18:22,13.5,101.8,12.100000000000001,99,71,Close
06-January-2021,9:18:24,8.700000000000003,106.2,10.899999999999999,63,74,Close
06-January-2021,9:18:25,8.700000000000003,106.2,10.899999999999999,63,74,Close
06-January-2021,9:18:26,12.600000000000001,107.4,10.700000000000003,99,73,Close
06-January-2021,9:18:27,8.299999999999997,108.7,14.100000000000001,65,73,Close
06-January-2021,9:18:28,8.299999999999997,108.7,14.100000000000001,65,73,Close
06-January-2021,9:18:29,5.399999999999999,109.4,10.0,62,76,Close
06-January-2021,9:18:30,5.399999999999999,109.4,10.0,62,76,Close
06-January-2021,9:18:32,14.0,105.9,11.299999999999997,66,70,Close
06-January-2021,9:18:33,6.300000000000001,100.2,11.200000000000003,75,77,Close
06-January-2021,9:18:34,6.300000000000001,100.2,11.200000000000003,75,77,Close
06-January-2021,9:18:35,6.199999999999999,108.6,10.5,66,72,Close
06-January-2021,9:18:36,13.100000000000001,107.2,10.0,68,76,Close
06-January-2021,9:18:38,13.100000000000001,107.2,10.0,68,76,Close
06-January-2021,9:18:39,10.399999999999999,109.0,12.0,77,71,Close
06-January-2021,9:18:40,11.5,105.9,13.200000000000003,93,75,Close
06-January-2021,9:18:41,11.5,105.9,13.200000000000003,93,75,Close
06-January-2021,9:18:42,13.899999999999999,106.6,13.600000000000001,64,77,Close
06-January-2021,9:18:44,5.899999999999999,100.0,14.0,71,75,Close
06-January-2021,9:18:45,10.200000000000003,107.1,11.0,65,76,Close
06-January-2021,9:18:46,10.200000000000003,107.1,11.0,65,76,Close
06-January-2021,9:18:47,9.299999999999997,109.9,12.299999999999997,83,74,Close
06-January-2021,9:18:48,9.299999999999997,109.9,12.299999999999997,83,74,Close
06-January-2021,9:18:50,8.799999999999997,102.5,13.5,86,73,Close
06-January-2021,9:18:51,8.799999999999997,102.5,13.5,86,73,Close
06-January-2021,9:18:51,10.899999999999999,103.7,14.600000000000001,65,71,Close
