Date(DD-MM-YY), Time(24-hour),Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status(Open/Closed)
13-January-2021,11:0:8,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:0:9,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:0:10,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:0:11,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:0:12,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:0:13,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:30:56,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:30:57,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:30:58,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:30:59,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:31:0,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:31:1,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:34:18,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:41,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:43,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:44,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:45,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:46,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:46,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:48,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:48,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:49,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:50,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:52,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:53,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:54,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:55,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:56,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:57,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:58,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:44:59,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:49:15,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:49:17,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:49:18,-25.0,0.0,-25.0,0,0,open
13-January-2021,11:49:19,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:39,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:40,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:41,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:42,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:43,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:44,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:45,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:46,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:47,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:48,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:49,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:50,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:51,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:52,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:53,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:54,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:55,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:56,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:57,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:4:58,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:10,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:12,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:13,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:14,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:15,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:16,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:17,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:18,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:19,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:20,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:21,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:22,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:23,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:24,-25.0,0.0,-25.0,0,0,open
13-January-2021,12:20:25,-25.0,0.0,-25.0,0,0,open
